,_id,contracts,contracts.dateSigned,contracts.period.endDate,contracts.period.startDate,contracts.status
7033,5bf802225fb2add4506e0447,,,,,
7034,5bf8018b5fb2add4506e0227,,,,,
7035,5bf8018a5fb2add4506e01c3,,2018-11-16T17:09:00+02:00,2018-12-31T00:00:00+02:00,2018-11-16T00:00:00+02:00,active
7036,5bf8018a5fb2add4506e01d8,,2018-11-22T17:11:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7037,5bf8018a5fb2add4506e01cf,,2018-11-22T17:10:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7038,5bf8018a5fb2add4506e01d7,,2018-11-16T17:11:00+02:00,2018-12-31T00:00:00+02:00,2018-11-16T00:00:00+02:00,active
7039,5bf8018b5fb2add4506e021a,,,,,
7040,5bf8018c5fb2add4506e02a4,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-11-22T00:00:00+02:00,active
7041,5bf8018b5fb2add4506e0206,,2018-11-21T18:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-21T00:00:00+02:00,active
7042,5bf8018c5fb2add4506e02f5,,,,,
7043,5bf8018a5fb2add4506e01d4,,,,,
7044,5bf8018a5fb2add4506e01d1,,2018-11-22T14:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7045,5bf8018a5fb2add4506e01e6,,2018-11-22T17:04:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7046,5bf8018a5fb2add4506e01cb,,,,,
7047,5bf8018b5fb2add4506e01f5,,2018-11-20T16:12:00+02:00,2018-12-31T00:00:00+02:00,2018-11-20T00:00:00+02:00,active
7048,5bf8018b5fb2add4506e0234,,2018-11-22T00:00:00+02:00,2018-12-31T23:59:59+02:00,2018-12-31T00:00:00+02:00,active
7049,5bf8018b5fb2add4506e0208,,2018-11-22T12:00:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7050,5bf8018a5fb2add4506e01b7,,2018-11-22T17:01:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7051,5bf8018a5fb2add4506e01a2,,,,,
7052,5bf8018b5fb2add4506e01ed,,2018-11-22T17:11:00+02:00,2018-12-31T00:00:00+02:00,2018-11-22T00:00:00+02:00,active
7053,5bf8018b5fb2add4506e01ea,,2018-11-22T00:00:00+02:00,2019-06-30T00:00:00+03:00,2018-11-22T00:00:00+02:00,active
